الشكل جميل فقط, 0 '
'توصيل البائع كان ممتاز لاكن التأخير من ارامكس كالعادة السلعة كانت كما في الوصف وسعرها افضل سعر موجود ويعتبر رخيص جدا مخصص اكثر للجوالات وجيده نوعا ما على الكاميرات, 0 '
'لا انصح لانها غير مضمونة يا خربان يا كويسالجهاز كل بعد فلم بيخرب ارجع افرمتو بيخرب ثاني والان باتصل بخدمة العملا, 0 '
'جميلة وانيقة ولكن ارى انها صغيره, 1 '
'الغلاف المطاطي سقط بعد اول استخدام له من الجودة الرديئة للتصنيع, 0 '
'جهاز جيد بالنسبة لسعره, 1 '
'اشتريت السلعة من الموقع على انها جديدة وصلتني مستعملة و الشحن لا يعمل وبه أرقام مخزنة لأشخاص لا انصح به, 0 '
'السلعة جيدة جدا واستعمالها مفيد قد أقدتي قطعة أخرى منها إن حصلت عليها بنفس السعر الأول, 1 '
'اشتريت قطعتين وصلني الجرابين فقط بدون حافظات الشاشة, 0 '
'منتج رائع وذو فاعلية, 1 '
'4, 0 '
'ليست فيها اى اوبشن الا الصوت عند اللمس وترديد الكلمات ولكنها لاتغنى ولاتحكى حكايات, 0 '
'الجهاز سئ جدا لم استعملة غير 4 مرات فقط وتعطل عند توصيله علي ولاعة السيارة حرق الفيوز الخاص بالولاعة يسخن بسرعة شديدة صناعة رديئة, 0 '
'اللعبة كبيرة جدا وغير ثابته على الارض لاكنها مسلية الى حد ماء اااااااااااااااااااااااااااااااااا, 0 '
'لا ترتقي للمعيار المطلوب, 0 '
'ممتاز وللحين ماشفت فيه اي مشكلة, 1 '
'سئ سئ سئ, 0 '
'منتج جيد و عملي و أنصح به و لكونه يقيس حرارة ما حولك من السوائل و الأجسام الأخرى غير المرضى كحرارة الحليب أو الماء أو غيرها, 1 '
'منتج غير جيد, 0 '
'لا يستحق الشراء, 0 '
'لقد أحبتها طفلة أختي ولم تعد تتناول طعامها إلا بها والأجمل أنها تريد أن تستخدمها بنفسها, 1 '
'هذا العطر هو بمثابة التاج والعلامة البارزة لهذه الماركة العريقة شانيل عطر جذاب بكل ماتعننيه الكلمه رولي مثير للنساء بشكل عجيب من واقع تجربة طويله, 0 '
'لون رائع وجذاب سريع الجفاف سهل الاستخدام الكرستالات رائعه وبريقها اروع التعليمات غير واضحة على العلبه, 1 '
'لاتعبر عن الاب توب كور اى 3 لانها ناقصة من حيث الرامات وكذلك البطارية ليست سداسية مع العلم ان الفارق بينه نفس النوع ولكن رامات اربعه جيجا وبطارية سداسية لا يتعدى 100 جنيه, 0 '
'بائع محترم انصح بالتعامل معه دقة في المواعيد وتغليف جيد, 1 '
'ماتشتغل, 0 '
'ماركة معروفة وسعر مناسب, 1 '
'لاانصح بشرائها ليست ضد الماء يدخل الماء في الساعه مكونا نقاط داخلها خلاف ما هو مكتوب بانها تتحمل حتى عمق 100 متر فهذا كلام غير صحيح, 0 '
'طبقة السيراميك رديئة وفيها خدوش واضحة, 0 '
'12 7, 0 '
'الماكينة جيدة و عملية و لكن لم أشعر بالنعومة التي توقعتها و تحتاج إلى تكرار عملية الحلاقة في المكان الواحد مرارا لتحصل على نتيجة أفضل ومع ذلك فأنا أنصح بها و خاصة أعجبني هدوءها خلال العمل و إمكانية استخدامها خلال الإستحمام, 1 '
'غير جيده, 0 '
'المنتج يصلح للسباحة وليس للغوص لذلك هو غير مطابق للوصف, 0 '
'لم أجدها فى أى مكان فى تبوك وأخيرا وجدتها فى سوقكوم السلعه ممتاذه البائع ممتاز وأنصح بالشراء من عنده, 1 '
'رووووعه قد ماتوصف هذي الكلمه من معنى خص نص انه ضد الماء ممكن استعماله بدون خوف او قلق معها زيت للمكينه معه فرشه صغيره ومشط للشعر اشكرك جدا, 1 '
'اولا تحياتي للبائع علي صدقه وامانته في عرض السلعة وتسليمها بنفس مواصفاتها فهو بائع ممتاز جدا واتمني تكرار تجربتي معه, 0 '
'صندوق رائع وجودته ممتازة وبسعر مناسب لاغنى لبيتك عنه لحفظ جميع اداواتك وعدتك, 1 '
'عطر جميل الرائحة, 1 '
'مررره حلووووه وراااائعة جداااا وقطعهامناسبه وعديدة وسهلة الاستخدام وجودتها عالية وتم توصليها لي بحالة جيده وبسرعه وبسهولة, 1 '
'خدوم واصلي وجميل جدا الي يبغى شاحن ينفع له, 1 '
'ضعيف جدا وخامته سيئة جدا واتقطع من اول يوم, 0 '
'لا تصلح للغرض الذي صنعت لأجله, 0 '
'ارجو كتابة شرح مواصفات ومميزات المنتج بالعربي, 0 '
'لولا كلمة سكاي وورث على الشاشة لما صدقت انها صيني وملائمه لغرفه 34 وكانه 3 من كبرها و سعرها رهيب خيالي كأنها مسروقة, 1 '
'الساعه لاتعمل, 0 '
